,variable,value,Type,Mass
111,Power_Pick_3,0.12,RS,2 tomatoes
112,Power_Pick_3,0.08,RS,2 tomatoes
113,Power_Pick_3,0.06,RS,2 tomatoes
114,Power_Pick_3,0.08,RS,2 tomatoes
115,Power_Pick_3,0.04,RS,2 tomatoes
116,Power_Pick_3,0.12,RS,2 tomatoes
117,Power_Pick_3,0.02,RS,2 tomatoes
118,Power_Pick_3,0.1,RS,2 tomatoes
119,Power_Pick_3,0.18,RS,2 tomatoes
120,Power_Pick_3,0.14,RS,2 tomatoes
121,Power_Pick_3,0.18,RS,2 tomatoes
122,Power_Pick_3,0.08,RS,2 tomatoes
123,Power_Pick_3,0.24,RS,2 tomatoes
124,Power_Pick_3,0.2,RS,2 tomatoes
125,Power_Pick_3,0.22,RS,2 tomatoes
126,Power_Pick_3,0.22,RS,2 tomatoes
127,Power_Pick_3,0.16,RS,2 tomatoes
128,Power_Pick_3,0.12,RS,2 tomatoes
129,Power_Pick_3,0.14,RS,2 tomatoes
130,Power_Pick_3,0.06,RS,2 tomatoes
131,Power_Pick_3,0.08,RS,2 tomatoes
132,Power_Pick_3,0.1,RS,2 tomatoes
133,Power_Pick_3,0.04,RS,2 tomatoes
134,Power_Pick_3,0.16,RS,2 tomatoes
135,Power_Pick_3,0.1,RS,2 tomatoes
136,Power_Pick_3,0.28,RS,2 tomatoes
137,Power_Pick_3,0.24,RS,2 tomatoes
138,Power_Pick_3,0.14,RS,2 tomatoes
139,Power_Pick_3,0.08,RS,2 tomatoes
140,Power_Pick_3,0.1,RS,2 tomatoes
141,Power_Pick_3,0.08,RS,2 tomatoes
142,Power_Pick_3,0.08,RS,2 tomatoes
143,Power_Pick_3,0.08,RS,2 tomatoes
144,Power_Pick_3,0.06,RS,2 tomatoes
145,Power_Pick_3,0.14,RS,2 tomatoes
146,Power_Pick_3,0.16,RS,2 tomatoes
147,Power_Pick_3,0.18,RS,2 tomatoes
148,Power_Pick_3,0.18,RS,2 tomatoes
149,Power_Pick_3,0.18,RS,2 tomatoes
0,Power_Pick_1,0.22,RS,6 tomatoes
1,Power_Pick_1,0.12,RS,6 tomatoes
2,Power_Pick_1,0.12,RS,6 tomatoes
3,Power_Pick_1,0.06,RS,6 tomatoes
4,Power_Pick_1,0.22,RS,6 tomatoes
5,Power_Pick_1,0.18,RS,6 tomatoes
6,Power_Pick_1,0.12,RS,6 tomatoes
7,Power_Pick_1,0.08,RS,6 tomatoes
8,Power_Pick_1,0.04,RS,6 tomatoes
9,Power_Pick_1,0.12,RS,6 tomatoes
10,Power_Pick_1,0.12,RS,6 tomatoes
11,Power_Pick_1,0.16,RS,6 tomatoes
12,Power_Pick_1,0.1,RS,6 tomatoes
13,Power_Pick_1,0.22,RS,6 tomatoes
14,Power_Pick_1,0.08,RS,6 tomatoes
15,Power_Pick_1,0.1,RS,6 tomatoes
16,Power_Pick_1,0.1,RS,6 tomatoes
17,Power_Pick_1,0.1,RS,6 tomatoes
18,Power_Pick_1,0.14,RS,6 tomatoes
19,Power_Pick_1,0.14,RS,6 tomatoes
20,Power_Pick_1,0.08,RS,6 tomatoes
21,Power_Pick_1,0.14,RS,6 tomatoes
22,Power_Pick_1,0.08,RS,6 tomatoes
23,Power_Pick_1,0.22,RS,6 tomatoes
24,Power_Pick_1,0.14,RS,6 tomatoes
25,Power_Pick_1,0.08,RS,6 tomatoes
26,Power_Pick_1,0.04,RS,6 tomatoes
27,Power_Pick_1,0.16,RS,6 tomatoes
28,Power_Pick_1,0.16,RS,6 tomatoes
29,Power_Pick_1,0.12,RS,6 tomatoes
30,Power_Pick_1,0.12,RS,6 tomatoes
31,Power_Pick_1,0.12,RS,6 tomatoes
32,Power_Pick_1,0.14,RS,6 tomatoes
33,Power_Pick_1,0.24,RS,6 tomatoes
34,Power_Pick_1,0.16,RS,6 tomatoes
35,Power_Pick_1,0.1,RS,6 tomatoes
36,Power_Pick_1,0.18,RS,6 tomatoes
37,Power_Pick_1,0.24,RS,6 tomatoes
38,Power_Pick_1,0.14,RS,6 tomatoes
39,Power_Pick_1,0.16,RS,6 tomatoes
40,Power_Pick_1,0.1,RS,6 tomatoes
41,Power_Pick_1,0.08,RS,6 tomatoes
42,Power_Pick_1,0.18,RS,6 tomatoes
43,Power_Pick_1,0.18,RS,6 tomatoes
44,Power_Pick_1,0.16,RS,6 tomatoes
45,Power_Pick_1,0.16,RS,6 tomatoes
46,Power_Pick_1,0.12,RS,6 tomatoes
47,Power_Pick_1,0.08,RS,6 tomatoes
48,Power_Pick_1,0.1,RS,6 tomatoes
49,Power_Pick_1,0.16,RS,6 tomatoes
50,Power_Pick_2,0.18,RS,6 tomatoes
51,Power_Pick_2,0.22,RS,6 tomatoes
52,Power_Pick_2,0.12,RS,6 tomatoes
53,Power_Pick_2,0.18,RS,6 tomatoes
54,Power_Pick_2,0.26,RS,6 tomatoes
55,Power_Pick_2,0.18,RS,6 tomatoes
56,Power_Pick_2,0.14,RS,6 tomatoes
57,Power_Pick_2,0.14,RS,6 tomatoes
58,Power_Pick_2,0.16,RS,6 tomatoes
59,Power_Pick_2,0.04,RS,6 tomatoes
60,Power_Pick_2,0.16,RS,6 tomatoes
61,Power_Pick_2,0.22,RS,6 tomatoes
62,Power_Pick_2,0.16,RS,6 tomatoes
63,Power_Pick_2,0.12,RS,6 tomatoes
64,Power_Pick_2,0.22,RS,6 tomatoes
65,Power_Pick_2,0.16,RS,6 tomatoes
66,Power_Pick_2,0.18,RS,6 tomatoes
67,Power_Pick_2,0.14,RS,6 tomatoes
68,Power_Pick_2,0.18,RS,6 tomatoes
69,Power_Pick_2,0.22,RS,6 tomatoes
70,Power_Pick_2,0.12,RS,6 tomatoes
71,Power_Pick_2,0.12,RS,6 tomatoes
72,Power_Pick_2,0.18,RS,6 tomatoes
73,Power_Pick_2,0.24,RS,6 tomatoes
74,Power_Pick_2,0.12,RS,6 tomatoes
75,Power_Pick_2,0.24,RS,6 tomatoes
76,Power_Pick_2,0.24,RS,6 tomatoes
77,Power_Pick_2,0.08,RS,6 tomatoes
78,Power_Pick_2,0.06,RS,6 tomatoes
79,Power_Pick_2,0.22,RS,6 tomatoes
80,Power_Pick_2,0.16,RS,6 tomatoes
81,Power_Pick_2,0.26,RS,6 tomatoes
82,Power_Pick_2,0.16,RS,6 tomatoes
83,Power_Pick_2,0.3,RS,6 tomatoes
84,Power_Pick_2,0.1,RS,6 tomatoes
85,Power_Pick_2,0.28,RS,6 tomatoes
86,Power_Pick_2,0.06,RS,6 tomatoes
87,Power_Pick_2,0.06,RS,6 tomatoes
88,Power_Pick_2,0.14,RS,6 tomatoes
89,Power_Pick_2,0.22,RS,6 tomatoes
90,Power_Pick_2,0.1,RS,6 tomatoes
91,Power_Pick_2,0.22,RS,6 tomatoes
92,Power_Pick_2,0.22,RS,6 tomatoes
93,Power_Pick_2,0.2,RS,6 tomatoes
94,Power_Pick_2,0.12,RS,6 tomatoes
95,Power_Pick_2,0.16,RS,6 tomatoes
96,Power_Pick_2,0.2,RS,6 tomatoes
97,Power_Pick_2,0.28,RS,6 tomatoes
98,Power_Pick_2,0.18,RS,6 tomatoes
99,Power_Pick_2,0.18,RS,6 tomatoes
100,Power_Pick_3,0.16,RS,6 tomatoes
101,Power_Pick_3,0.34,RS,6 tomatoes
102,Power_Pick_3,0.24,RS,6 tomatoes
103,Power_Pick_3,0.22,RS,6 tomatoes
104,Power_Pick_3,0.28,RS,6 tomatoes
105,Power_Pick_3,0.22,RS,6 tomatoes
106,Power_Pick_3,0.24,RS,6 tomatoes
107,Power_Pick_3,0.26,RS,6 tomatoes
108,Power_Pick_3,0.2,RS,6 tomatoes
109,Power_Pick_3,0.2,RS,6 tomatoes
110,Power_Pick_3,0.18,RS,6 tomatoes
111,Power_Pick_3,0.2,RS,6 tomatoes
112,Power_Pick_3,0.36,RS,6 tomatoes
113,Power_Pick_3,0.26,RS,6 tomatoes
114,Power_Pick_3,0.3,RS,6 tomatoes
115,Power_Pick_3,0.18,RS,6 tomatoes
116,Power_Pick_3,0.3,RS,6 tomatoes
117,Power_Pick_3,0.26,RS,6 tomatoes
118,Power_Pick_3,0.14,RS,6 tomatoes
119,Power_Pick_3,0.24,RS,6 tomatoes
120,Power_Pick_3,0.26,RS,6 tomatoes
121,Power_Pick_3,0.22,RS,6 tomatoes
122,Power_Pick_3,0.32,RS,6 tomatoes
123,Power_Pick_3,0.12,RS,6 tomatoes
124,Power_Pick_3,0.18,RS,6 tomatoes
125,Power_Pick_3,0.26,RS,6 tomatoes
126,Power_Pick_3,0.1,RS,6 tomatoes
127,Power_Pick_3,0.18,RS,6 tomatoes
128,Power_Pick_3,0.34,RS,6 tomatoes
129,Power_Pick_3,0.14,RS,6 tomatoes
130,Power_Pick_3,0.16,RS,6 tomatoes
131,Power_Pick_3,0.16,RS,6 tomatoes
132,Power_Pick_3,0.2,RS,6 tomatoes
133,Power_Pick_3,0.14,RS,6 tomatoes
134,Power_Pick_3,0.24,RS,6 tomatoes
135,Power_Pick_3,0.24,RS,6 tomatoes
136,Power_Pick_3,0.22,RS,6 tomatoes
137,Power_Pick_3,0.26,RS,6 tomatoes
138,Power_Pick_3,0.26,RS,6 tomatoes
139,Power_Pick_3,0.1,RS,6 tomatoes
140,Power_Pick_3,0.3,RS,6 tomatoes
141,Power_Pick_3,0.16,RS,6 tomatoes
142,Power_Pick_3,0.18,RS,6 tomatoes
143,Power_Pick_3,0.22,RS,6 tomatoes
144,Power_Pick_3,0.24,RS,6 tomatoes
145,Power_Pick_3,0.2,RS,6 tomatoes
146,Power_Pick_3,0.3,RS,6 tomatoes
147,Power_Pick_3,0.14,RS,6 tomatoes
148,Power_Pick_3,0.16,RS,6 tomatoes
149,Power_Pick_3,0.16,RS,6 tomatoes
0,Power_Pick_1,0.34,RS,20 x 5 tomatoes
1,Power_Pick_1,0.26,RS,20 x 5 tomatoes
2,Power_Pick_1,0.26,RS,20 x 5 tomatoes
3,Power_Pick_1,0.36,RS,20 x 5 tomatoes
4,Power_Pick_1,0.3,RS,20 x 5 tomatoes
5,Power_Pick_1,0.24,RS,20 x 5 tomatoes
6,Power_Pick_1,0.34,RS,20 x 5 tomatoes
7,Power_Pick_1,0.36,RS,20 x 5 tomatoes
8,Power_Pick_1,0.28,RS,20 x 5 tomatoes
9,Power_Pick_1,0.24,RS,20 x 5 tomatoes
10,Power_Pick_1,0.32,RS,20 x 5 tomatoes
11,Power_Pick_1,0.42,RS,20 x 5 tomatoes
12,Power_Pick_1,0.32,RS,20 x 5 tomatoes
13,Power_Pick_1,0.2,RS,20 x 5 tomatoes
14,Power_Pick_1,0.24,RS,20 x 5 tomatoes
15,Power_Pick_1,0.3,RS,20 x 5 tomatoes
16,Power_Pick_1,0.26,RS,20 x 5 tomatoes
17,Power_Pick_1,0.36,RS,20 x 5 tomatoes
18,Power_Pick_1,0.3,RS,20 x 5 tomatoes
19,Power_Pick_1,0.34,RS,20 x 5 tomatoes
20,Power_Pick_1,0.3,RS,20 x 5 tomatoes
21,Power_Pick_1,0.4,RS,20 x 5 tomatoes
22,Power_Pick_1,0.32,RS,20 x 5 tomatoes
23,Power_Pick_1,0.34,RS,20 x 5 tomatoes
24,Power_Pick_1,0.24,RS,20 x 5 tomatoes
25,Power_Pick_1,0.24,RS,20 x 5 tomatoes
26,Power_Pick_1,0.3,RS,20 x 5 tomatoes
27,Power_Pick_1,0.3,RS,20 x 5 tomatoes
28,Power_Pick_1,0.28,RS,20 x 5 tomatoes
29,Power_Pick_1,0.28,RS,20 x 5 tomatoes
30,Power_Pick_1,0.4,RS,20 x 5 tomatoes
31,Power_Pick_1,0.3,RS,20 x 5 tomatoes
32,Power_Pick_1,0.28,RS,20 x 5 tomatoes
33,Power_Pick_1,0.36,RS,20 x 5 tomatoes
34,Power_Pick_1,0.34,RS,20 x 5 tomatoes
35,Power_Pick_1,0.2,RS,20 x 5 tomatoes
36,Power_Pick_1,0.34,RS,20 x 5 tomatoes
37,Power_Pick_1,0.4,RS,20 x 5 tomatoes
38,Power_Pick_1,0.28,RS,20 x 5 tomatoes
39,Power_Pick_1,0.28,RS,20 x 5 tomatoes
40,Power_Pick_1,0.24,RS,20 x 5 tomatoes
41,Power_Pick_1,0.36,RS,20 x 5 tomatoes
42,Power_Pick_1,0.34,RS,20 x 5 tomatoes
43,Power_Pick_1,0.38,RS,20 x 5 tomatoes
44,Power_Pick_1,0.28,RS,20 x 5 tomatoes
45,Power_Pick_1,0.26,RS,20 x 5 tomatoes
46,Power_Pick_1,0.24,RS,20 x 5 tomatoes
47,Power_Pick_1,0.26,RS,20 x 5 tomatoes
48,Power_Pick_1,0.24,RS,20 x 5 tomatoes
49,Power_Pick_1,0.22,RS,20 x 5 tomatoes
50,Power_Pick_2,0.26,RS,20 x 5 tomatoes
51,Power_Pick_2,0.22,RS,20 x 5 tomatoes
52,Power_Pick_2,0.22,RS,20 x 5 tomatoes
53,Power_Pick_2,0.34,RS,20 x 5 tomatoes
54,Power_Pick_2,0.42,RS,20 x 5 tomatoes
55,Power_Pick_2,0.34,RS,20 x 5 tomatoes
56,Power_Pick_2,0.28,RS,20 x 5 tomatoes
57,Power_Pick_2,0.28,RS,20 x 5 tomatoes
58,Power_Pick_2,0.3,RS,20 x 5 tomatoes
59,Power_Pick_2,0.44,RS,20 x 5 tomatoes
60,Power_Pick_2,0.22,RS,20 x 5 tomatoes
61,Power_Pick_2,0.28,RS,20 x 5 tomatoes
62,Power_Pick_2,0.26,RS,20 x 5 tomatoes
63,Power_Pick_2,0.48,RS,20 x 5 tomatoes
64,Power_Pick_2,0.34,RS,20 x 5 tomatoes
65,Power_Pick_2,0.24,RS,20 x 5 tomatoes
66,Power_Pick_2,0.38,RS,20 x 5 tomatoes
67,Power_Pick_2,0.24,RS,20 x 5 tomatoes
68,Power_Pick_2,0.28,RS,20 x 5 tomatoes
69,Power_Pick_2,0.38,RS,20 x 5 tomatoes
70,Power_Pick_2,0.26,RS,20 x 5 tomatoes
71,Power_Pick_2,0.28,RS,20 x 5 tomatoes
72,Power_Pick_2,0.44,RS,20 x 5 tomatoes
73,Power_Pick_2,0.34,RS,20 x 5 tomatoes
74,Power_Pick_2,0.42,RS,20 x 5 tomatoes
75,Power_Pick_2,0.42,RS,20 x 5 tomatoes
76,Power_Pick_2,0.4,RS,20 x 5 tomatoes
77,Power_Pick_2,0.3,RS,20 x 5 tomatoes
78,Power_Pick_2,0.4,RS,20 x 5 tomatoes
79,Power_Pick_2,0.3,RS,20 x 5 tomatoes
80,Power_Pick_2,0.3,RS,20 x 5 tomatoes
81,Power_Pick_2,0.3,RS,20 x 5 tomatoes
82,Power_Pick_2,0.38,RS,20 x 5 tomatoes
83,Power_Pick_2,0.3,RS,20 x 5 tomatoes
84,Power_Pick_2,0.32,RS,20 x 5 tomatoes
85,Power_Pick_2,0.38,RS,20 x 5 tomatoes
86,Power_Pick_2,0.36,RS,20 x 5 tomatoes
87,Power_Pick_2,0.32,RS,20 x 5 tomatoes
88,Power_Pick_2,0.2,RS,20 x 5 tomatoes
89,Power_Pick_2,0.42,RS,20 x 5 tomatoes
90,Power_Pick_2,0.34,RS,20 x 5 tomatoes
91,Power_Pick_2,0.26,RS,20 x 5 tomatoes
92,Power_Pick_2,0.4,RS,20 x 5 tomatoes
93,Power_Pick_2,0.34,RS,20 x 5 tomatoes
94,Power_Pick_2,0.4,RS,20 x 5 tomatoes
95,Power_Pick_2,0.36,RS,20 x 5 tomatoes
96,Power_Pick_2,0.42,RS,20 x 5 tomatoes
97,Power_Pick_2,0.36,RS,20 x 5 tomatoes
98,Power_Pick_2,0.34,RS,20 x 5 tomatoes
99,Power_Pick_2,0.38,RS,20 x 5 tomatoes
100,Power_Pick_3,0.38,RS,20 x 5 tomatoes
101,Power_Pick_3,0.52,RS,20 x 5 tomatoes
102,Power_Pick_3,0.5,RS,20 x 5 tomatoes
103,Power_Pick_3,0.3,RS,20 x 5 tomatoes
104,Power_Pick_3,0.26,RS,20 x 5 tomatoes
105,Power_Pick_3,0.4,RS,20 x 5 tomatoes
106,Power_Pick_3,0.38,RS,20 x 5 tomatoes
107,Power_Pick_3,0.36,RS,20 x 5 tomatoes
108,Power_Pick_3,0.4,RS,20 x 5 tomatoes
109,Power_Pick_3,0.32,RS,20 x 5 tomatoes
110,Power_Pick_3,0.42,RS,20 x 5 tomatoes
111,Power_Pick_3,0.26,RS,20 x 5 tomatoes
112,Power_Pick_3,0.36,RS,20 x 5 tomatoes
113,Power_Pick_3,0.28,RS,20 x 5 tomatoes
114,Power_Pick_3,0.36,RS,20 x 5 tomatoes
115,Power_Pick_3,0.36,RS,20 x 5 tomatoes
116,Power_Pick_3,0.36,RS,20 x 5 tomatoes
117,Power_Pick_3,0.4,RS,20 x 5 tomatoes
118,Power_Pick_3,0.4,RS,20 x 5 tomatoes
119,Power_Pick_3,0.26,RS,20 x 5 tomatoes
120,Power_Pick_3,0.34,RS,20 x 5 tomatoes
121,Power_Pick_3,0.32,RS,20 x 5 tomatoes
122,Power_Pick_3,0.22,RS,20 x 5 tomatoes
123,Power_Pick_3,0.32,RS,20 x 5 tomatoes
124,Power_Pick_3,0.3,RS,20 x 5 tomatoes
125,Power_Pick_3,0.34,RS,20 x 5 tomatoes
126,Power_Pick_3,0.28,RS,20 x 5 tomatoes
127,Power_Pick_3,0.34,RS,20 x 5 tomatoes
128,Power_Pick_3,0.32,RS,20 x 5 tomatoes
129,Power_Pick_3,0.42,RS,20 x 5 tomatoes
130,Power_Pick_3,0.3,RS,20 x 5 tomatoes
131,Power_Pick_3,0.38,RS,20 x 5 tomatoes
132,Power_Pick_3,0.34,RS,20 x 5 tomatoes
133,Power_Pick_3,0.34,RS,20 x 5 tomatoes
134,Power_Pick_3,0.32,RS,20 x 5 tomatoes
135,Power_Pick_3,0.38,RS,20 x 5 tomatoes
136,Power_Pick_3,0.28,RS,20 x 5 tomatoes
137,Power_Pick_3,0.28,RS,20 x 5 tomatoes
138,Power_Pick_3,0.46,RS,20 x 5 tomatoes
139,Power_Pick_3,0.3,RS,20 x 5 tomatoes
140,Power_Pick_3,0.4,RS,20 x 5 tomatoes
141,Power_Pick_3,0.36,RS,20 x 5 tomatoes
142,Power_Pick_3,0.26,RS,20 x 5 tomatoes
143,Power_Pick_3,0.28,RS,20 x 5 tomatoes
144,Power_Pick_3,0.3,RS,20 x 5 tomatoes
145,Power_Pick_3,0.38,RS,20 x 5 tomatoes
146,Power_Pick_3,0.34,RS,20 x 5 tomatoes
147,Power_Pick_3,0.36,RS,20 x 5 tomatoes
148,Power_Pick_3,0.38,RS,20 x 5 tomatoes
149,Power_Pick_3,0.36,RS,20 x 5 tomatoes
0,Power_Pick_1,0.0,PPS,2 tomatoes
1,Power_Pick_1,0.0,PPS,2 tomatoes
2,Power_Pick_1,0.0,PPS,2 tomatoes
3,Power_Pick_1,0.0,PPS,2 tomatoes
4,Power_Pick_1,0.0,PPS,2 tomatoes
5,Power_Pick_1,0.0,PPS,2 tomatoes
6,Power_Pick_1,0.0,PPS,2 tomatoes
7,Power_Pick_1,0.0,PPS,2 tomatoes
8,Power_Pick_1,0.0,PPS,2 tomatoes
9,Power_Pick_1,0.0,PPS,2 tomatoes
10,Power_Pick_1,0.0,PPS,2 tomatoes
11,Power_Pick_1,0.0,PPS,2 tomatoes
12,Power_Pick_1,0.0,PPS,2 tomatoes
13,Power_Pick_1,0.0,PPS,2 tomatoes
14,Power_Pick_1,0.0,PPS,2 tomatoes
15,Power_Pick_1,0.0,PPS,2 tomatoes
16,Power_Pick_1,0.0,PPS,2 tomatoes
17,Power_Pick_1,0.0,PPS,2 tomatoes
18,Power_Pick_1,0.0,PPS,2 tomatoes
19,Power_Pick_1,0.0,PPS,2 tomatoes
20,Power_Pick_1,0.0,PPS,2 tomatoes
21,Power_Pick_1,0.0,PPS,2 tomatoes
22,Power_Pick_1,0.0,PPS,2 tomatoes
23,Power_Pick_1,0.0,PPS,2 tomatoes
24,Power_Pick_1,0.0,PPS,2 tomatoes
25,Power_Pick_1,0.0,PPS,2 tomatoes
26,Power_Pick_1,0.0,PPS,2 tomatoes
27,Power_Pick_1,0.0,PPS,2 tomatoes
28,Power_Pick_1,0.0,PPS,2 tomatoes
29,Power_Pick_1,0.0,PPS,2 tomatoes
30,Power_Pick_1,0.0,PPS,2 tomatoes
31,Power_Pick_1,0.0,PPS,2 tomatoes
32,Power_Pick_1,0.0,PPS,2 tomatoes
33,Power_Pick_1,0.0,PPS,2 tomatoes
34,Power_Pick_1,0.0,PPS,2 tomatoes
35,Power_Pick_1,0.0,PPS,2 tomatoes
36,Power_Pick_1,0.0,PPS,2 tomatoes
37,Power_Pick_1,0.0,PPS,2 tomatoes
38,Power_Pick_1,0.0,PPS,2 tomatoes
39,Power_Pick_1,0.0,PPS,2 tomatoes
40,Power_Pick_1,0.0,PPS,2 tomatoes
41,Power_Pick_1,0.0,PPS,2 tomatoes
42,Power_Pick_1,0.0,PPS,2 tomatoes
43,Power_Pick_1,0.0,PPS,2 tomatoes
44,Power_Pick_1,0.0,PPS,2 tomatoes
45,Power_Pick_1,0.0,PPS,2 tomatoes
46,Power_Pick_1,0.0,PPS,2 tomatoes
47,Power_Pick_1,0.0,PPS,2 tomatoes
48,Power_Pick_1,0.0,PPS,2 tomatoes
49,Power_Pick_1,0.0,PPS,2 tomatoes
50,Power_Pick_2,0.0,PPS,2 tomatoes
51,Power_Pick_2,0.0,PPS,2 tomatoes
52,Power_Pick_2,0.0,PPS,2 tomatoes
53,Power_Pick_2,0.0,PPS,2 tomatoes
54,Power_Pick_2,0.0,PPS,2 tomatoes
55,Power_Pick_2,0.0,PPS,2 tomatoes
56,Power_Pick_2,0.0,PPS,2 tomatoes
57,Power_Pick_2,0.0,PPS,2 tomatoes
58,Power_Pick_2,0.0,PPS,2 tomatoes
59,Power_Pick_2,0.0,PPS,2 tomatoes
60,Power_Pick_2,0.0,PPS,2 tomatoes
61,Power_Pick_2,0.0,PPS,2 tomatoes
62,Power_Pick_2,0.0,PPS,2 tomatoes
63,Power_Pick_2,0.0,PPS,2 tomatoes
64,Power_Pick_2,0.0,PPS,2 tomatoes
65,Power_Pick_2,0.0,PPS,2 tomatoes
66,Power_Pick_2,0.0,PPS,2 tomatoes
67,Power_Pick_2,0.0,PPS,2 tomatoes
68,Power_Pick_2,0.0,PPS,2 tomatoes
69,Power_Pick_2,0.0,PPS,2 tomatoes
70,Power_Pick_2,0.0,PPS,2 tomatoes
71,Power_Pick_2,0.0,PPS,2 tomatoes
72,Power_Pick_2,0.0,PPS,2 tomatoes
73,Power_Pick_2,0.0,PPS,2 tomatoes
74,Power_Pick_2,0.0,PPS,2 tomatoes
75,Power_Pick_2,0.0,PPS,2 tomatoes
76,Power_Pick_2,0.0,PPS,2 tomatoes
77,Power_Pick_2,0.0,PPS,2 tomatoes
78,Power_Pick_2,0.0,PPS,2 tomatoes
79,Power_Pick_2,0.0,PPS,2 tomatoes
80,Power_Pick_2,0.0,PPS,2 tomatoes
81,Power_Pick_2,0.0,PPS,2 tomatoes
82,Power_Pick_2,0.0,PPS,2 tomatoes
83,Power_Pick_2,0.0,PPS,2 tomatoes
84,Power_Pick_2,0.0,PPS,2 tomatoes
85,Power_Pick_2,0.0,PPS,2 tomatoes
86,Power_Pick_2,0.0,PPS,2 tomatoes
87,Power_Pick_2,0.0,PPS,2 tomatoes
88,Power_Pick_2,0.0,PPS,2 tomatoes
89,Power_Pick_2,0.0,PPS,2 tomatoes
90,Power_Pick_2,0.0,PPS,2 tomatoes
91,Power_Pick_2,0.0,PPS,2 tomatoes
92,Power_Pick_2,0.0,PPS,2 tomatoes
93,Power_Pick_2,0.0,PPS,2 tomatoes
94,Power_Pick_2,0.0,PPS,2 tomatoes
95,Power_Pick_2,0.0,PPS,2 tomatoes
96,Power_Pick_2,0.0,PPS,2 tomatoes
97,Power_Pick_2,0.0,PPS,2 tomatoes
98,Power_Pick_2,0.0,PPS,2 tomatoes
99,Power_Pick_2,0.0,PPS,2 tomatoes
100,Power_Pick_3,0.0,PPS,2 tomatoes
101,Power_Pick_3,0.0,PPS,2 tomatoes
102,Power_Pick_3,0.0,PPS,2 tomatoes
103,Power_Pick_3,0.0,PPS,2 tomatoes
104,Power_Pick_3,0.0,PPS,2 tomatoes
105,Power_Pick_3,0.0,PPS,2 tomatoes
106,Power_Pick_3,0.0,PPS,2 tomatoes
107,Power_Pick_3,0.0,PPS,2 tomatoes
108,Power_Pick_3,0.0,PPS,2 tomatoes
109,Power_Pick_3,0.0,PPS,2 tomatoes
110,Power_Pick_3,0.0,PPS,2 tomatoes
111,Power_Pick_3,0.0,PPS,2 tomatoes
112,Power_Pick_3,0.0,PPS,2 tomatoes
113,Power_Pick_3,0.0,PPS,2 tomatoes
114,Power_Pick_3,0.0,PPS,2 tomatoes
115,Power_Pick_3,0.0,PPS,2 tomatoes
116,Power_Pick_3,0.0,PPS,2 tomatoes
117,Power_Pick_3,0.0,PPS,2 tomatoes
118,Power_Pick_3,0.0,PPS,2 tomatoes
119,Power_Pick_3,0.0,PPS,2 tomatoes
120,Power_Pick_3,0.0,PPS,2 tomatoes
121,Power_Pick_3,0.0,PPS,2 tomatoes
122,Power_Pick_3,0.0,PPS,2 tomatoes
123,Power_Pick_3,0.0,PPS,2 tomatoes
124,Power_Pick_3,0.0,PPS,2 tomatoes
125,Power_Pick_3,0.0,PPS,2 tomatoes
126,Power_Pick_3,0.0,PPS,2 tomatoes
127,Power_Pick_3,0.0,PPS,2 tomatoes
128,Power_Pick_3,0.0,PPS,2 tomatoes
129,Power_Pick_3,0.0,PPS,2 tomatoes
130,Power_Pick_3,0.0,PPS,2 tomatoes
131,Power_Pick_3,0.0,PPS,2 tomatoes
132,Power_Pick_3,0.0,PPS,2 tomatoes
133,Power_Pick_3,0.0,PPS,2 tomatoes
134,Power_Pick_3,0.0,PPS,2 tomatoes
135,Power_Pick_3,0.0,PPS,2 tomatoes
136,Power_Pick_3,0.0,PPS,2 tomatoes
137,Power_Pick_3,0.0,PPS,2 tomatoes
138,Power_Pick_3,0.0,PPS,2 tomatoes
139,Power_Pick_3,0.0,PPS,2 tomatoes
140,Power_Pick_3,0.0,PPS,2 tomatoes
141,Power_Pick_3,0.0,PPS,2 tomatoes
142,Power_Pick_3,0.0,PPS,2 tomatoes
143,Power_Pick_3,0.0,PPS,2 tomatoes
144,Power_Pick_3,0.0,PPS,2 tomatoes
145,Power_Pick_3,0.0,PPS,2 tomatoes
146,Power_Pick_3,0.0,PPS,2 tomatoes
147,Power_Pick_3,0.0,PPS,2 tomatoes
148,Power_Pick_3,0.0,PPS,2 tomatoes
149,Power_Pick_3,0.0,PPS,2 tomatoes
0,Power_Pick_1,0.0,PPS,6 tomatoes
1,Power_Pick_1,0.0,PPS,6 tomatoes
2,Power_Pick_1,0.0,PPS,6 tomatoes
3,Power_Pick_1,0.0,PPS,6 tomatoes
4,Power_Pick_1,0.0,PPS,6 tomatoes
5,Power_Pick_1,0.0,PPS,6 tomatoes
6,Power_Pick_1,0.0,PPS,6 tomatoes
7,Power_Pick_1,0.0,PPS,6 tomatoes
8,Power_Pick_1,0.0,PPS,6 tomatoes
9,Power_Pick_1,0.0,PPS,6 tomatoes
10,Power_Pick_1,0.0,PPS,6 tomatoes
11,Power_Pick_1,0.0,PPS,6 tomatoes
12,Power_Pick_1,0.0,PPS,6 tomatoes
13,Power_Pick_1,0.0,PPS,6 tomatoes
14,Power_Pick_1,0.0,PPS,6 tomatoes
15,Power_Pick_1,0.0,PPS,6 tomatoes
16,Power_Pick_1,0.0,PPS,6 tomatoes
17,Power_Pick_1,0.0,PPS,6 tomatoes
18,Power_Pick_1,0.0,PPS,6 tomatoes
